,name,message,timestamp,date,hour
1,ima_77,💩,2024-03-01 14:42:45.724000+00:00,2024-03-01,14
2,esguille,💩,2024-03-01 09:13:54.713000+00:00,2024-03-01,9
3,otromono,💩,2024-03-01 07:49:17.650000+00:00,2024-03-01,7
4,ima_77,💩,2024-02-29 12:59:06.504000+00:00,2024-02-29,12
5,esguille,💩,2024-02-29 10:38:44.391000+00:00,2024-02-29,10
6,otromono,💩,2024-02-29 07:32:14.986000+00:00,2024-02-29,7
7,esguille,💩,2024-02-28 11:53:15.170000+00:00,2024-02-28,11
8,ima_77,💩,2024-02-28 08:18:36.712000+00:00,2024-02-28,8
9,otromono,💩,2024-02-27 14:21:02.707000+00:00,2024-02-27,14
10,esguille,💩,2024-02-27 09:55:18.086000+00:00,2024-02-27,9
11,ima_77,💩,2024-02-27 06:52:54.631000+00:00,2024-02-27,6
12,ima_77,💩,2024-02-26 12:56:00.356000+00:00,2024-02-26,12
13,esguille,💩,2024-02-26 10:51:22.426000+00:00,2024-02-26,10
14,esguille,💩,2024-02-26 08:46:21.809000+00:00,2024-02-26,8
15,otromono,💩,2024-02-26 07:34:39.984000+00:00,2024-02-26,7
16,esguille,💩,2024-02-24 21:03:32.262000+00:00,2024-02-24,21
17,esguille,💩,2024-02-24 18:51:39.859000+00:00,2024-02-24,18
18,otromono,💩,2024-02-24 09:04:44.199000+00:00,2024-02-24,9
19,esguille,💩,2024-02-24 06:29:35.120000+00:00,2024-02-24,6
20,esguille,💩,2024-02-23 10:08:12.073000+00:00,2024-02-23,10
21,esguille,💩,2024-02-22 18:01:34.522000+00:00,2024-02-22,18
22,ima_77,💩,2024-02-22 16:43:35.890000+00:00,2024-02-22,16
23,ima_77,💩,2024-02-22 08:27:23.853000+00:00,2024-02-22,8
24,otromono,💩,2024-02-22 08:21:24.417000+00:00,2024-02-22,8
25,esguille,💩,2024-02-22 07:11:18.453000+00:00,2024-02-22,7
26,esguille,💩,2024-02-21 23:02:15.350000+00:00,2024-02-21,23
27,otromono,💩,2024-02-21 21:46:40.891000+00:00,2024-02-21,21
28,ima_77,💩,2024-02-21 16:06:07.093000+00:00,2024-02-21,16
29,esguille,💩,2024-02-21 07:33:47.217000+00:00,2024-02-21,7
30,otromono,💩,2024-02-21 07:19:56.522000+00:00,2024-02-21,7
31,esguille,💩,2024-02-20 09:46:36.494000+00:00,2024-02-20,9
32,esguille,💩,2024-02-19 08:09:21.637000+00:00,2024-02-19,8
33,esguille,💩,2024-02-18 11:19:47.090000+00:00,2024-02-18,11
34,otromono,💩,2024-02-18 11:01:45.712000+00:00,2024-02-18,11
35,esguille,💩,2024-02-17 19:34:42.050000+00:00,2024-02-17,19
36,otromono,💩,2024-02-17 12:38:35.206000+00:00,2024-02-17,12
37,esguille,💩,2024-02-17 12:31:48.562000+00:00,2024-02-17,12
38,otromono,💩,2024-02-16 09:21:30.055000+00:00,2024-02-16,9
39,esguille,💩,2024-02-16 09:13:31.282000+00:00,2024-02-16,9
40,esguille,💩,2024-02-16 09:13:18.063000+00:00,2024-02-16,9
41,esguille,💩,2024-02-15 10:34:50.165000+00:00,2024-02-15,10
42,ima_77,💩,2024-02-14 13:35:19.928000+00:00,2024-02-14,13
43,esguille,💩,2024-02-14 09:51:08.462000+00:00,2024-02-14,9
44,esguille,💩,2024-02-14 09:51:03.565000+00:00,2024-02-14,9
45,ima_77,💩,2024-02-14 07:53:19.142000+00:00,2024-02-14,7
46,otromono,💩,2024-02-13 07:32:37.399000+00:00,2024-02-13,7
47,ima_77,💩,2024-02-13 06:45:06.556000+00:00,2024-02-13,6
48,ima_77,💩,2024-02-12 14:57:09.312000+00:00,2024-02-12,14
49,esguille,💩,2024-02-12 11:17:53.087000+00:00,2024-02-12,11
50,esguille,💩,2024-02-12 08:36:24.744000+00:00,2024-02-12,8
51,otromono,💩,2024-02-12 07:53:56.924000+00:00,2024-02-12,7
52,ima_77,💩,2024-02-12 06:46:41.197000+00:00,2024-02-12,6
53,otromono,💩,2024-02-11 18:01:48.183000+00:00,2024-02-11,18
54,ima_77,💩,2024-02-11 17:39:18.958000+00:00,2024-02-11,17
55,ima_77,💩,2024-02-11 11:55:35.894000+00:00,2024-02-11,11
56,esguille,💩,2024-02-11 11:15:38.536000+00:00,2024-02-11,11
57,otromono,💩,2024-02-11 06:48:17.966000+00:00,2024-02-11,6
58,ima_77,💩,2024-02-10 16:31:45.760000+00:00,2024-02-10,16
59,potajito,💩,2024-02-10 09:14:18.896000+00:00,2024-02-10,9
60,esguille,💩,2024-02-10 09:06:29.501000+00:00,2024-02-10,9
66,esguille,💩,2024-02-09 18:52:56.595000+00:00,2024-02-09,18
67,esguille,💩,2024-02-09 18:52:38.230000+00:00,2024-02-09,18
68,esguille,💩,2024-02-09 18:52:19.315000+00:00,2024-02-09,18
71,esguille,💩,2024-02-09 18:45:25.521000+00:00,2024-02-09,18
72,deparki,💩,2024-02-09 18:21:07.454000+00:00,2024-02-09,18
